threshold,recall_bad,precision_bad,f1_bad
0.25,0.8166666666666667,0.45794392523364486,0.5868263473053892
0.26,0.8166666666666667,0.47572815533980584,0.6012269938650306
0.27,0.8166666666666667,0.4803921568627451,0.6049382716049383
0.28,0.8166666666666667,0.4803921568627451,0.6049382716049383
0.29,0.75,0.47368421052631576,0.5806451612903226
0.3,0.7333333333333333,0.4835164835164835,0.5827814569536424
0.31,0.6833333333333333,0.47126436781609193,0.5578231292517006
0.32,0.6666666666666666,0.47058823529411764,0.5517241379310345
0.33,0.65,0.46987951807228917,0.5454545454545454
0.34,0.6166666666666667,0.49333333333333335,0.5481481481481482
0.35,0.6,0.5,0.5454545454545454
0.36,0.6,0.5070422535211268,0.549618320610687
0.37,0.5833333333333334,0.5147058823529411,0.546875
0.38,0.5833333333333334,0.5223880597014925,0.5511811023622047
0.39,0.55,0.5409836065573771,0.5454545454545454
0.4,0.5166666666666667,0.5344827586206896,0.5254237288135594
0.41,0.5166666666666667,0.5636363636363636,0.5391304347826087
0.42,0.5,0.5882352941176471,0.5405405405405406
0.43,0.5,0.6,0.5454545454545454
0.44,0.48333333333333334,0.6170212765957447,0.5420560747663551
0.45,0.4666666666666667,0.6222222222222222,0.5333333333333333
